Condition,Original Index,Trial,Trial_type,target_image,target_image_position,TargetVerbalResponse_Color,image_TL,image_BL,image_TR,image_BR,critical_audio,precedingaudio_parta,precedingaudio_partb,precedingaudio_partc,DisambiguatingRegion,Speaker
optimal,19,all_horns,filler_allnh,Isaac_horns.jpg,BL,green,Daniel_pianos.jpg,Isaac_horns.jpg,Mia_pianos.jpg,Jade.jpg,all_horns_AAE.mp3,horns_parta.mp3,horns_partb.mp3,horns_partc.mp3,-horns,AAE
suboptimal,2,some_bears,some,Mia_bears.jpg,TR,yellow,Daniel_bears.jpg,Isaac.jpg,Mia_bears.jpg,Jade_berries.jpg,some_bears_GAE.mp3,bears_parta.mp3,bears_partb.mp3,bears_partc.mp3,ber-,GAE
optimal,12,all_ladders,filler_allh,Jade_ladders.jpg,BR,blue,Daniel_laptops.jpg,Isaac.jpg,Mia_laptops.jpg,Jade_ladders.jpg,all_ladders_AAE.mp3,ladders_parta.mp3,ladders_partb.mp3,ladders_partc.mp3,la-,AAE
optimal,1,some_baskets,some,Mia_baskets.jpg,TR,yellow,Daniel_baskets.jpg,Isaac.jpg,Mia_baskets.jpg,Jade_bats.jpg,some_baskets_AAE.mp3,baskets_parta.mp3,baskets_partb.mp3,baskets_partc.mp3,ba-,AAE
intermediate,9,some_socks,some,Daniel_socks.jpg,TL,red,Daniel_socks.jpg,Isaac_soccerballs.jpg,Mia_socks.jpg,Jade.jpg,some_socks_GAE.mp3,socks_parta.mp3,socks_partb.mp3,socks_partc.mp3,soc-,GAE
intermediate,27,all_bugs,filler_allh,Isaac_bugs.jpg,BL,green,Daniel_bunnies.jpg,Isaac_bugs.jpg,Mia_bunnies.jpg,Jade.jpg,all_bugs_GAE.mp3,bugs_parta.mp3,bugs_partb.mp3,bugs_partc.mp3,bu-,GAE
suboptimal,6,some_pillows,some,Mia_pillows.jpg,TR,yellow,Daniel_pillows.jpg,Isaac.jpg,Mia_pillows.jpg,Jade_pictures.jpg,some_pillows_GAE.mp3,pillows_parta.mp3,pillows_partb.mp3,pillows_partc.mp3,pi-,GAE
intermediate,21,all_pans,filler_allnh,Isaac_pans.jpg,BL,green,Daniel_bowls.jpg,Isaac_pans.jpg,Mia_bowls.jpg,Jade.jpg,all_pans_GAE.mp3,pans_parta.mp3,pans_partb.mp3,pans_partc.mp3,-pans,GAE
intermediate,11,some_turtles,some,Mia_turtles.jpg,TR,yellow,Daniel_turtles.jpg,Isaac.jpg,Mia_turtles.jpg,Jade_turkeys.jpg,some_turtles_GAE.mp3,turtles_parta.mp3,turtles_partb.mp3,turtles_partc.mp3,tur-,GAE
optimal,24,all_mail,filler_allnh,Jade_mail.jpg,BR,blue,Daniel_watermelons.jpg,Isaac.jpg,Mia_watermelons.jpg,Jade_mail.jpg,all_mail_AAE.mp3,mail_parta.mp3,mail_partb.mp3,mail_partc.mp3,-mail,AAE
intermediate,10,some_ties,some,Daniel_ties.jpg,TL,red,Daniel_ties.jpg,Isaac_tigers.jpg,Mia_ties.jpg,Jade.jpg,some_ties_GAE.mp3,ties_parta.mp3,ties_partb.mp3,ties_partc.mp3,tie-,GAE
suboptimal,8,some_sandals,some,Mia_sandals.jpg,TR,yellow,Daniel_sandals.jpg,Isaac.jpg,Mia_sandals.jpg,Jade_sandwiches.jpg,some_sandals_GAE.mp3,sandals_parta.mp3,sandals_partb.mp3,sandals_partc.mp3,sand-,GAE
intermediate,26,all_ladders,filler_allh,Jade_ladders.jpg,BR,blue,Daniel_laptops.jpg,Isaac.jpg,Mia_laptops.jpg,Jade_ladders.jpg,all_ladders_GAE.mp3,ladders_parta.mp3,ladders_partb.mp3,ladders_partc.mp3,la-,GAE
suboptimal,14,all_marbles,filler_allh,Jade_marbles.jpg,BR,blue,Daniel_markers.jpg,Isaac.jpg,Mia_markers.jpg,Jade_marbles.jpg,all_marbles_GAE.mp3,marbles_parta.mp3,marbles_partb.mp3,marbles_partc.mp3,mar-,GAE
intermediate,16,all_apples,filler_allnh,Jade_apples.jpg,BR,blue,Daniel_cookies.jpg,Isaac.jpg,Mia_cookies.jpg,Jade_apples.jpg,all_apples_GAE.mp3,apples_parta.mp3,apples_partb.mp3,apples_partc.mp3,#VALUE!,GAE
suboptimal,22,all_plants,filler_allnh,Jade_plants.jpg,BR,blue,Daniel_chairs.jpg,Isaac.jpg,Mia_chairs.jpg,Jade_plants.jpg,all_plants_GAE.mp3,plants_parta.mp3,plants_partb.mp3,plants_partc.mp3,-plants,GAE
optimal,5,some_monkeys,some,Mia_monkeys.jpg,TR,yellow,Daniel_monkeys.jpg,Isaac.jpg,Mia_monkeys.jpg,Jade_money.jpg,some_monkeys_AAE.mp3,monkeys_parta.mp3,monkeys_partb.mp3,monkeys_partc.mp3,mon-,AAE
optimal,13,all_lemons,filler_allh,Jade_lemons.jpg,BR,blue,Daniel_lettuces.jpg,Isaac.jpg,Mia_lettuces.jpg,Jade_lemons.jpg,all_lemons_AAE.mp3,lemons_parta.mp3,lemons_partb.mp3,lemons_partc.mp3,le-,AAE
intermediate,20,all_kites,filler_allnh,Jade_kites.jpg,BR,blue,Daniel_footballs.jpg,Isaac.jpg,Mia_footballs.jpg,Jade_kites.jpg,all_kites_GAE.mp3,kites_parta.mp3,kites_partb.mp3,kites_partc.mp3,-kites,GAE
intermediate,4,some_dolls,some,Daniel_dolls.jpg,TL,red,Daniel_dolls.jpg,Isaac_dogs.jpg,Mia_dolls.jpg,Jade.jpg,some_dolls_GAE.mp3,dolls_parta.mp3,dolls_partb.mp3,dolls_partc.mp3,do-,GAE
optimal,18,all_couches,filler_allnh,Jade_couches.jpg,BR,blue,Daniel_tables.jpg,Isaac.jpg,Mia_tables.jpg,Jade_couches.jpg,all_couches_AAE.mp3,couches_parta.mp3,couches_partb.mp3,couches_partc.mp3,-couches,AAE
suboptimal,17,all_bananas,filler_allnh,Jade_bananas.jpg,BR,blue,Daniel_carrots.jpg,Isaac.jpg,Mia_carrots.jpg,Jade_bananas.jpg,all_bananas_GAE.mp3,bananas_parta.mp3,bananas_partb.mp3,bananas_partc.mp3,-bananas,GAE
optimal,3,some_bunnies,some,Daniel_bunnies.jpg,TL,red,Daniel_bunnies.jpg,Isaac_butterflies.jpg,Mia_bunnies.jpg,Jade.jpg,some_bunnies_AAE.mp3,bunnies_parta.mp3,bunnies_partb.mp3,bunnies_partc.mp3,bu-,AAE
suboptimal,15,all_bugs,filler_allh,Isaac_bugs.jpg,BL,green,Daniel_bunnies.jpg,Isaac_bugs.jpg,Mia_bunnies.jpg,Jade.jpg,all_bugs_GAE.mp3,bugs_parta.mp3,bugs_partb.mp3,bugs_partc.mp3,bu-,GAE
optimal,0,some_balls,some,Mia_balls.jpg,TR,yellow,Daniel_balls.jpg,Isaac.jpg,Mia_balls.jpg,Jade_balloons.jpg,some_balls_AAE.mp3,balls_parta.mp3,balls_partb.mp3,balls_partc.mp3,b-,AAE
suboptimal,23,all_spoons,filler_allnh,Jade_spoons.jpg,BR,blue,Daniel_forks.jpg,Isaac.jpg,Mia_forks.jpg,Jade_spoons.jpg,all_spoons_GAE.mp3,spoons_parta.mp3,spoons_partb.mp3,spoons_partc.mp3,-spoons,GAE
suboptimal,7,some_presents,some,Mia_presents.jpg,TR,yellow,Daniel_presents.jpg,Isaac.jpg,Mia_presents.jpg,Jade_pretzels.jpg,some_presents_GAE.mp3,presents_parta.mp3,presents_partb.mp3,presents_partc.mp3,pre-,GAE
